FSA,Language,Count,Year
M1B,Algonquin,0,2006
M1B,Atikamekw,0,2006
M1B,Blackfoot,0,2006
M1B,Carrier,0,2006
M1B,Chilcotin,0,2006
M1B,Chipewyan,0,2006
M1B,Cree,0,2006
M1B,Siouan languages (Dakota/Sioux),0,2006
M1B,Dene,0,2006
M1B,Dogrib,0,2006
M1B,Gitksan,0,2006
M1B,Inuinnaqtun,0,2006
M1B,"Inuktitut, n.i.e.",0,2006
M1B,Kutchin-Gwich'in (Loucheux),0,2006
M1B,Malecite,0,2006
M1B,Mi'kmaq,0,2006
M1B,Mohawk,0,2006
M1B,Montagnais-Naskapi,0,2006
M1B,Nisga'a,0,2006
M1B,North Slave (Hare),0,2006
M1B,Ojibway,0,2006
M1B,Oji-Cree,0,2006
M1B,Shuswap,0,2006
M1B,South Slave,0,2006
M1B,Tlingit,0,2006
M1B,Italian,45,2006
M1B,Portuguese,45,2006
M1B,Romanian,0,2006
M1B,Spanish,265,2006
M1B,Danish,0,2006
M1B,Dutch,0,2006
M1B,Flemish,0,2006
M1B,Frisian,0,2006
M1B,German,0,2006
M1B,Norwegian,0,2006
M1B,Swedish,0,2006
M1B,Yiddish,0,2006
M1B,Bosnian,0,2006
M1B,Bulgarian,10,2006
M1B,Croatian,10,2006
M1B,Czech,10,2006
M1B,Macedonian,50,2006
M1B,Polish,165,2006
M1B,Russian,70,2006
M1B,Serbian,10,2006
M1B,Serbo-Croatian,0,2006
M1B,Slovak,0,2006
M1B,Slovenian,10,2006
M1B,Ukrainian,45,2006
M1B,Latvian,0,2006
M1B,Lithuanian,0,2006
M1B,Estonian,0,2006
M1B,Finnish,0,2006
M1B,Hungarian,30,2006
M1B,Greek,75,2006
M1B,Armenian,10,2006
M1B,Turkish,0,2006
M1B,Amharic,30,2006
M1B,Arabic,160,2006
M1B,Hebrew,0,2006
M1B,Maltese,0,2006
M1B,Somali,10,2006
M1B,Tigrigna,0,2006
M1B,Bengali,395,2006
M1B,Gujarati,1280,2006
M1B,Hindi,390,2006
M1B,Kurdish,0,2006
M1B,Panjabi (Punjabi),950,2006
M1B,Pashto,105,2006
M1B,Persian (Farsi),525,2006
M1B,Sindhi,25,2006
M1B,Sinhala (Sinhalese),60,2006
M1B,Urdu,2195,2006
M1B,Malayalam,30,2006
M1B,Tamil,6945,2006
M1B,Telugu,50,2006
M1B,Japanese,20,2006
M1B,Korean,165,2006
M1B,Cantonese,1895,2006
M1B,"Chinese, n.o.s.",1295,2006
M1B,Mandarin,235,2006
M1B,Taiwanese,0,2006
M1B,Lao,0,2006
M1B,Khmer (Cambodian),0,2006
M1B,Vietnamese,170,2006
M1B,Bisayan languages,55,2006
M1B,Ilocano,0,2006
M1B,Malay,0,2006
M1B,"Tagalog (Pilipino, Filipino)",1925,2006
M1B,Akan (Twi),30,2006
M1B,Swahili,25,2006
M1B,Creoles,75,2006
M1B,Other languages,285,2006
M1C,Algonquin,0,2006
M1C,Atikamekw,0,2006
M1C,Blackfoot,0,2006
M1C,Carrier,0,2006
M1C,Chilcotin,0,2006
M1C,Chipewyan,0,2006
M1C,Cree,0,2006
M1C,Siouan languages (Dakota/Sioux),0,2006
M1C,Dene,0,2006
M1C,Dogrib,0,2006
M1C,Gitksan,0,2006
M1C,Inuinnaqtun,0,2006
M1C,"Inuktitut, n.i.e.",0,2006
M1C,Kutchin-Gwich'in (Loucheux),0,2006
M1C,Malecite,0,2006
M1C,Mi'kmaq,0,2006
M1C,Mohawk,0,2006
M1C,Montagnais-Naskapi,0,2006
M1C,Nisga'a,0,2006
M1C,North Slave (Hare),0,2006
M1C,Ojibway,0,2006
M1C,Oji-Cree,0,2006
M1C,Shuswap,0,2006
M1C,South Slave,0,2006
M1C,Tlingit,0,2006
M1C,Italian,180,2006
M1C,Portuguese,40,2006
M1C,Romanian,30,2006
M1C,Spanish,110,2006
M1C,Danish,0,2006
M1C,Dutch,15,2006
M1C,Flemish,0,2006
M1C,Frisian,0,2006
M1C,German,50,2006
M1C,Norwegian,0,2006
M1C,Swedish,0,2006
M1C,Yiddish,0,2006
M1C,Bosnian,0,2006
M1C,Bulgarian,0,2006
M1C,Croatian,10,2006
M1C,Czech,20,2006
M1C,Macedonian,135,2006
M1C,Polish,255,2006
M1C,Russian,30,2006
M1C,Serbian,10,2006
M1C,Serbo-Croatian,0,2006
M1C,Slovak,0,2006
M1C,Slovenian,0,2006
M1C,Ukrainian,10,2006
M1C,Latvian,0,2006
M1C,Lithuanian,0,2006
M1C,Estonian,30,2006
M1C,Finnish,15,2006
M1C,Hungarian,45,2006
M1C,Greek,120,2006
M1C,Armenian,10,2006
M1C,Turkish,0,2006
M1C,Amharic,25,2006
M1C,Arabic,60,2006
M1C,Hebrew,0,2006
M1C,Maltese,0,2006
M1C,Somali,0,2006
M1C,Tigrigna,0,2006
M1C,Bengali,150,2006
M1C,Gujarati,115,2006
M1C,Hindi,155,2006
M1C,Kurdish,0,2006
M1C,Panjabi (Punjabi),235,2006
M1C,Pashto,0,2006
M1C,Persian (Farsi),85,2006
M1C,Sindhi,0,2006
M1C,Sinhala (Sinhalese),0,2006
M1C,Urdu,260,2006
M1C,Malayalam,65,2006
M1C,Tamil,860,2006
M1C,Telugu,0,2006
M1C,Japanese,0,2006
M1C,Korean,95,2006
M1C,Cantonese,550,2006
M1C,"Chinese, n.o.s.",290,2006
M1C,Mandarin,55,2006
M1C,Taiwanese,60,2006
M1C,Lao,0,2006
M1C,Khmer (Cambodian),0,2006
M1C,Vietnamese,130,2006
M1C,Bisayan languages,20,2006
M1C,Ilocano,0,2006
M1C,Malay,0,2006
M1C,"Tagalog (Pilipino, Filipino)",525,2006
M1C,Akan (Twi),25,2006
M1C,Swahili,10,2006
M1C,Creoles,0,2006
M1C,Other languages,90,2006
M1G,Algonquin,0,2006
M1G,Atikamekw,0,2006
M1G,Blackfoot,0,2006
M1G,Carrier,0,2006
M1G,Chilcotin,0,2006
M1G,Chipewyan,0,2006
M1G,Cree,0,2006
M1G,Siouan languages (Dakota/Sioux),0,2006
M1G,Dene,0,2006
M1G,Dogrib,0,2006
M1G,Gitksan,0,2006
M1G,Inuinnaqtun,0,2006
M1G,"Inuktitut, n.i.e.",0,2006
M1G,Kutchin-Gwich'in (Loucheux),0,2006
M1G,Malecite,0,2006
M1G,Mi'kmaq,0,2006
M1G,Mohawk,0,2006
M1G,Montagnais-Naskapi,0,2006
M1G,Nisga'a,0,2006
M1G,North Slave (Hare),0,2006
M1G,Ojibway,0,2006
M1G,Oji-Cree,0,2006
M1G,Shuswap,0,2006
M1G,South Slave,0,2006
M1G,Tlingit,0,2006
M1G,Italian,165,2006
M1G,Portuguese,25,2006
M1G,Romanian,35,2006
