FSA,Language,Count,Year
M1B,    English,40245,1996
M1B,    French,135,1996
M1B,      Chinese,4565,1996
M1B,      Italian,280,1996
M1B,      Portuguese,80,1996
M1B,      Spanish,350,1996
M1B,      German,55,1996
M1B,      Polish,200,1996
M1B,      Punjabi,810,1996
M1B,      Greek,160,1996
M1B,      Vietnamese,135,1996
M1B,      Arabic,305,1996
M1B,      Cree,0,1996
M1B,      Tagalog (Pilipino),1480,1996
M1B,      Ukrainian,10,1996
M1B,      Persian (Farsi),280,1996
M1B,      Korean,140,1996
M1B,      Hungarian,10,1996
M1B,      Tamil,2995,1996
M1B,      Gujarati,1070,1996
M1B,      Croatian,10,1996
M1B,      Armenian,50,1996
M1B,      Inuktitut (Eskimo),0,1996
M1B,      Hindi,310,1996
M1B,      Urdu,625,1996
M1B,      Japanese,35,1996
M1B,      Russian,0,1996
M1B,      Creoles,25,1996
M1B,      Dutch,0,1996
M1B,      Khmer (Cambodian),0,1996
M1B,      Ojibway,0,1996
M1B,      Romanian,15,1996
M1B,      Czech,0,1996
M1B,      Lao,0,1996
M1B,      Macedonian,50,1996
M1B,      Finnish,0,1996
M1B,      Montagnais-Naskapi,0,1996
M1B,      Hebrew,0,1996
M1B,      Yiddish,0,1996
M1B,      Serbian,25,1996
M1B,      Bengali,95,1996
M1B,      Slovak,0,1996
M1B,      Estonian,0,1996
M1B,      Turkish,0,1996
M1B,      Lithuanian,0,1996
M1B,      Latvian (Lettish),0,1996
M1B,      Micmac,0,1996
M1B,      Slovenian,0,1996
M1B,      Bulgarian,0,1996
M1B,      Serbo-Croatian,0,1996
M1B,      Dakota/Sioux,0,1996
M1B,      South Slave,0,1996
M1B,      Malay-Bahasa,15,1996
M1B,      Maltese,0,1996
M1B,      Blackfoot,0,1996
M1B,      Dogrib,0,1996
M1B,      Danish,0,1996
M1B,      Swedish,0,1996
M1B,      Malayalam,0,1996
M1B,      Thai,20,1996
M1B,      Kurdish,0,1996
M1B,      Pashto,0,1996
M1B,      Flemish,0,1996
M1B,      Chipewyan,0,1996
M1B,      Kutchin-Gwich'in (Loucheux),0,1996
M1B,      Norwegian,0,1996
M1B,      Gaelic languages,0,1996
M1B,      Tlingit,0,1996
M1B,      Other languages,420,1996
M1C,    English,25355,1996
M1C,    French,70,1996
M1C,      Chinese,1275,1996
M1C,      Italian,205,1996
M1C,      Portuguese,10,1996
M1C,      Spanish,110,1996
M1C,      German,70,1996
M1C,      Polish,245,1996
M1C,      Punjabi,265,1996
M1C,      Greek,90,1996
M1C,      Vietnamese,45,1996
M1C,      Arabic,85,1996
M1C,      Cree,0,1996
M1C,      Tagalog (Pilipino),260,1996
