,FSA,Mean,Std,Year,dist
0,M1B,427.60869565217394,656.1347117203795,1991,1.5344278972616907
1,M1C,146.9047619047619,219.1133441768709,1991,1.4915332990970143
2,M1E,195.1851851851852,220.14087022514522,1991,1.1278564508688653
3,M1G,235.41666666666666,231.07500886556775,1991,0.9815575597829427
4,M1H,127.27272727272727,122.83328754423869,1991,0.9651186878475897
5,M1J,300.4166666666667,292.6705936524694,1991,0.9742155683299951
6,M1K,404.4,573.0799595169947,1991,1.4171116704178899
7,M1L,213.86363636363637,275.55700539659756,1991,1.2884705884644305
8,M1M,106.36363636363636,103.05759442464704,1991,0.9689175544197585
9,M1N,107.10526315789474,132.935637270484,1991,1.241168112107713
10,M1P,229.6,269.7291975296704,1991,1.174778734885324
11,M1R,180.2,192.766594616391,1991,1.0697369290587735
12,M1S,472.17391304347825,1492.0520055097136,1991,3.1599628109321745
13,M1T,315.90909090909093,679.6834764058735,1991,2.15151604042147
14,M1V,911.5217391304348,3175.6976072991697,1991,3.483951584444594
15,M1W,704.5833333333334,1993.362379596065,1991,2.8291364346721206
16,M1X,41.666666666666664,30.505008696205213,1991,0.7321202087089251
17,M2H,303.75,822.6155567254164,1991,2.7081993637050745
18,M2J,546.4814814814815,952.9999560984938,1991,1.7438833490111374
19,M2K,110.95238095238095,264.79380588901273,1991,2.3865536153086984
20,M2L,82.75,152.3603869120842,1991,1.841213134889235
21,M2M,263.8,462.52195623559334,1991,1.7533053685958806
22,M2N,229.4,473.6841141520373,1991,2.064882799267817
23,M2P,37.5,46.11127844681819,1991,1.2296340919151518
24,M2R,461.8,894.425938800972,1991,1.9368253330467127
25,M3A,251.95652173913044,259.6098206524669,1991,1.0303754745481861
26,M3B,94.5,205.85735352423046,1991,2.1783846933781
27,M3C,366.6666666666667,475.2309380127144,1991,1.2960843763983119
28,M3H,272.82608695652175,326.2028779461338,1991,1.1956440147826417
29,M3J,273.8,577.9641511374216,1991,2.1108990180329497
30,M3K,123.05555555555556,287.736081277854,1991,2.3382616085784975
31,M3L,336.6666666666667,924.3122711525444,1991,2.745481993522409
32,M3M,321.6666666666667,652.716545591491,1991,2.0291706080564484
33,M3N,676.7307692307693,967.1816135910767,1991,1.4291970419646487
34,M4A,116.95652173913044,133.74813391981263,1991,1.1435714052623385
35,M4B,116.5,139.32964508675101,1991,1.195962618770395
36,M4C,335.96153846153845,593.6037580723635,1991,1.7668801041650202
37,M4E,92.33333333333333,132.63818789808948,1991,1.4365146703764204
38,M4G,39.375,52.67456098535611,1991,1.3377666281995202
39,M4H,157.6315789473684,224.8997930134817,1991,1.4267432611873632
40,M4J,418.8,841.2612911575095,1991,2.0087423380074245
41,M4K,316.0,679.9294081005763,1991,2.1516753420904315
42,M4L,250.0,739.0565238562916,1991,2.9562260954251665
43,M4M,482.3333333333333,1330.5135182410672,1991,2.758493818053353
44,M4N,42.05882352941177,40.25867913474982,1991,0.9571993640430027
45,M4P,45.0,46.29100498862757,1991,1.0286889997472792
46,M4R,40.9375,32.41424985635176,1991,0.7917984697734781
47,M4S,73.0,85.76712656956627,1991,1.1748921447885792
48,M4T,25.454545454545453,29.57690633635898,1991,1.1619498917855315
49,M4V,50.3125,38.98993259483786,1991,0.7749551820091997
50,M4W,37.27272727272727,35.50695427170419,1991,0.9526256024115758
51,M4X,235.0,387.12947545909077,1991,1.6473594700386842
52,M4Y,110.6,215.56122100229445,1991,1.9490164647585393
53,M5A,239.23076923076923,519.5887654742937,1991,2.171914453751067
54,M5B,61.785714285714285,121.17883983802533,1991,1.9612760204998319
55,M5C,28.333333333333332,8.498365855987975,1991,0.2999423243289874
56,M5E,31.0,21.77154105707724,1991,0.7023077760347497
57,M5G,64.16666666666667,125.52943435262063,1991,1.9563028730278538
58,M5H,31.25,17.09349291397168,1991,0.5469917732470938
59,M5J,66.66666666666667,93.83792173506164,1991,1.4075688260259245
60,M5L,60.0,0.0,1991,0.0
61,M5M,94.41176470588235,97.82761478505378,1991,1.0361803435177037
62,M5N,49.166666666666664,48.22545432076762,1991,0.9808566980495109
63,M5P,42.22222222222222,38.59412096212979,1991,0.9140712859451793
64,M5R,119.04761904761905,156.6966970784115,1991,1.3162522554586564
65,M5S,132.6315789473684,246.29554572682656,1991,1.856990225718137
66,M5T,488.75,1299.3910833540456,1991,2.6586006820543133
67,M5V,74.0909090909091,86.22956099901381,1991,1.1638345656308613
68,M5W,20.0,0.0,1991,0.0
69,M6A,162.5,250.6516507027233,1991,1.5424716966321432
70,M6B,281.0,494.422895909969,1991,1.7595120850888577
71,M6C,242.14285714285714,334.46678042951345,1991,1.3812787392369288
72,M6E,624.4230769230769,1536.1742732935593,1991,2.4601497447263654
73,M6G,605.0,1152.92539070043,1991,1.905661802810628
74,M6H,940.2083333333334,2287.314418322039,1991,2.432774032338973
75,M6J,751.3636363636364,2107.539594051763,1991,2.804952877745843
76,M6K,492.0,838.842059031377,1991,1.7049635346166199
77,M6L,332.39130434782606,817.2127464545961,1991,2.4585864183722315
